kode_item,nama_item,kategori,satuan,harga_pokok,harga_jual
001,KAPAL API 6g,KP,RNTNG,8975.0,9500.0
002,GOOD DAY FREZZE,KP,RNTNG,22050.0,22500.0
003,KAPAL API GULA MANTAP 24G,KP,RNTNG,13315.67,14000.0
004,KAPAL API KOPI SUSU,KP,RNTNG,16450.0,17000.0
005,KAPAL API SP MIX 23G,KP,RNTNG,16083.33,17000.0
006,GOOD DAY LATTE BUTTERSCOTCH 22G,KP,RNTNG,13700.0,14500.0
007,GOOD DAY LATTE ORIGINAL 22g,KP,RNTNG,13750.0,14500.0
008,GOOD DAY CHOCHOCINO 20G,KP,RNTNG,13911.67,14500.0
009,GOOD DAY ORIGINAL 20G,KP,RNTNG,13911.67,14500.0
010,GOOD DAY CAPPOCINO WHITE COCOA25G,KP,RNTNG,19558.33,20250.0
011,GOOD DAY MOCACINO 20G,KP,RNTNG,13911.67,14500.0
012,GOOD DAY VANILLA LATTE 20G,KP,RNTNG,13911.67,14500.0
013,ABC KOPI SUSU 30G,KP,RNTNG,16450.0,17000.0
014,LUWAK WHITE COFFE 20G,KOPI,RNTNG,14464.58,15500.0
015,ENERGEN VANILA 34G,MINUMAN,RNTNG,19062.5,19500.0
016,ENERGEN KACANG IJO 32G,MINUMAN,RNTNG,19500.0,20000.0
017,ENERGEN COKLAT 35G,MINUMAN,RNTNG,19070.0,20000.0
018,SASA 250G,SASA,PCS,11937.5,12500.0
019,SASA 500,SASA,PCS,2644.44,2797.65
020,SASA 1000,SASA,PCS,870.83,1000.0
021,SASA 2000,SASA,PCS,1762.5,2000.0
024,SASA 5000,SASA,PCS,4400.0,5000.0
025,SASA 10.000,SASA,PCS,8916.67,9500.0
026,AJINOMOTO,BUMBU,PCS,9900.0,10500.0
027,ADEM SARI BTL,MINUMAN,PCS,6000.0,7500.0
028,MASAKO SAPI,BUMBU,RNTNG,4400.0,5000.0
029,SAJIKU NASI GORENG AYAM,BUMBU,PCS,1700.0,2000.0
030,MASAKO AYAM,BUMBU,RNTNG,4400.0,5000.0
031,LADAKU,BUMBU,PCS,940.63,1000.0
032,SAORI SAOS TIRAM,BUMBU,PCS,2402.08,3000.0
034,MAMY POKO L RNTG,PAMPES,RNTNG,7111.11,8000.0
036,TEPUNG SASA 1000,TEPUNG,RNTNG,8133.33,8500.0
037,KOSONG,NOL,KG,0.0,0.0
038,LENCANA MERAH 1kg,TEPUNG,PCS,8833.33,9500.0
039,SEGITIGA BIRU 1kg,TEPUNG,PCS,10416.67,11000.0
040,TEPUNG BERAS ROSE BRAND 500g,TEPUNG,PCS,7850.0,8500.0
041,TEPUNG KETAN rose brand 500g,TEPUNG,PCS,16000.0,16500.0
042,TEPUNG CAKRA KEMBAR 1KG,TEPUNG,PCS,10750.0,11000.0
043,SEDAP KOREAN,SEDAP,PCS,2731.25,2900.0
044,SEDAP GORENG DAVIENA,SEDAP,PCS,2665.0,2900.0
045,SEDAP SOTO,SEDAP,PCS,2603.75,2800.0
046,SEDAP AYAM BAWANG,SEDAP,PCS,2610.0,2750.0
047,SEDAP GORENG,SEDAP,PCS,2731.25,2800.0
048,EKO MIE RENTENG,SEDAP,PCS,1745.83,2000.0
051,PEPSODENT 120G,SBN,PCS,8583.33,9000.0
053,GARAM DAUN 250G,BUMBU,PCS,1875.0,2500.0
054,PEPSODENT 72G,SBN,PCS,4166.67,5000.0
055,KOSONG,NOL,PAK,0.0,0.0
056,PEPSODENT 190G+20G,SBN,PCS,12333.33,13500.0
057,SOFFEL JERUK,OBAT,PCS,399.31,426.38
058,SARIMI GELAS BAKSO,INDOMIE,RNTNG,8041.67,8500.0
059,SARIMI GELAS AYAM BAWANG,INDOMIE,RNTNG,8041.67,8500.0
060,SARIMI GELAS  SOSIS,INDOMIE,RNTNG,8041.67,8500.0
061,SARIMI GELAS KARI,INDOMIE,RNTNG,8041.67,8500.0
062,kosong,NOL,PCS,0.0,0.0
063,kosong,NOL,PCS,4620.0,5000.0
064,kosong,NOL,PCS,4620.0,5000.0
065,LIQUID 500,SBN,PCS,4600.0,5000.0
066,kosong,NOL,PCS,4600.0,5000.0
067,kosong,NOL,PCS,4350.0,4850.0
068,KOSONG,NOL,PCS,4375.0,5000.0
069,KOSONG,NOL,PCS,4300.0,5000.0
070,KOSONG,NOL,PCS,4375.0,5000.0
